SAL_NAME21,tree_percentage,distance,n
Watsonia,17.3,15.6685879614284,2582
Watsonia North,21.4,16.949752457847563,1575
Werribee,13.8,30.07329342723867,19070
Werribee South,4.2,27.138075994706316,1251
West Footscray,19.7,8.271701472667884,4334
West Melbourne,4.1,3.381649184541023,1380
Westmeadows,17.3,16.618457823575024,2952
Wheelers Hill,27.5,22.254312493493813,8149
Wildwood,4.9,31.771882633934357,253
Williams Landing,2.6,20.0845339992776,2869
Williamstown,26,8.28703857066049,5563
Williamstown North,11.8,9.328396614111565,1192
Windsor,20.1,5.180739037530624,2104
Wonga Park,55.4,28.39046639489713,1540
Wyndham Vale,7.1,31.64120579218124,6526
Yallambie,38.4,15.152374410930106,1707
Yarraville,21.1,7.15166618452901,6293
Yuroke,8,27.425353746627206,70
