SAL_NAME21,street_percentage,rural_percentage,reserve_percentage,residential_percentage,weighted_street_pc,weighted_reserve_pc,weighted_rural_pc,weighted_resi_pc,total_coverage_pc,other_percentage,weighted_other_pc,distance
Essendon Fields,6.08604771910023,0,0,7.123175124682257,0.0047094780941986615,0,0,1.5900089803270678e-6,0.009323548186539476,0.4999457448875411,0.004612480083360487,11.151868139939902
Essendon North,10.279687158106231,0,3.1707562759077157,16.670300080571128,0.031414279298272875,3.8713407336078665e-4,0,0.0934229227893979,0.13495679832484075,7.9918760288719275,0.009732462163809175,10.016980069173115
Essendon West,11.005293262174632,0,30.10789330729447,22.29927689773234,0.014440245671724944,0.10672791739373413,0,0.10716008295457388,0.2338384584854054,16.326909462706578,0.005510212465372453,9.573040792132803
Eumemmerring,21.535861628978576,0,30.687044350485703,29.909314360075424,0.04894361684428506,0.06886292656172888,0,0.15091422454813094,0.27967434624502024,25.032302712371223,0.01095357829087538,32.25022492407892
Eynesbury,5.300002667262524,1.1677782910465773,94.90088014818706,0,0.0022201031978146663,4.473360776816584e-5,0.007071982473175607,0,0.0239989961112774,4.159822188228692,0.014662176832518959,37.12144300079425
Fairfield,19.47573814531892,0,41.735722879704326,21.389073755715767,0.035028776057976656,0.16079851281705326,0,0.060323707927412526,0.28211351357920555,16.987496231959884,0.025962516776763107,5.691608093161952
Fawkner,13.894158622919761,0,24.11964935182724,14.891079045144185,0.027417787810807042,0.03552661891615985,0,0.08359064962821447,0.15443664747420874,8.403590212767893,0.00790159111902738,12.149704131738135
Ferntree Gully,26.874014811692753,12.287986685088075,43.210776568527535,33.518583223783374,0.049519291377746265,0.020918514352600354,0.0019640662870489245,0.19245381986993085,0.3087671850240164,24.784827052630135,0.043911493136689995,28.99410077433657
Fitzroy,26.393678168864877,0,57.79720999489707,22.009810122326847,0.0845710625635754,0.004473855413457372,0,0.0768494297670036,0.1926796019748889,8.300927848731343,0.026785254230852554,2.0433985332820486
Fitzroy North,22.30470210775131,0,37.956038129660556,19.584725765924215,0.0702974075783688,0.038917190964227154,0,0.09127353072560848,0.2218291533192191,18.357128258582335,0.021341024051014665,3.840765721338166
Flemington,22.65838840503941,0,30.1331131884086,21.478475116482027,0.02650411690436257,0.012234163421156888,0,0.042228705512869495,0.12743886291029927,7.195821507868537,0.04647187707191031,4.9128862055710725
Footscray,12.239372058232883,0,13.971154295026794,18.892733532965835,0.028990273191054537,0.016064257510655478,0,0.04883235133263094,0.13123225861149473,9.583453438867819,0.037345376577153776,6.079502342566391
Forest Hill,25.017988227049337,0,38.235015854676014,29.13497699290592,0.04992809496345286,0.030316752674689033,0,0.1856874587123563,0.2878933813213873,26.204817284311122,0.021961074970889068,18.527186225121827
Fraser Rise,2.2692764341240066,0.9623972881219552,0,1.3011116938484224,7.655247486276873e-4,0,0.00473532361254441,0.005925083265001545,0.012615133188386777,6.310336178274148,0.0011892015622131345,25.787992182907953
Gardenvale,17.736014156596365,0,48.75985463569526,25.75875476043627,0.051350402962797775,0.005475281373338152,0,0.15613287046030788,0.22259324823648446,10.347692199422955,0.009634693440040682,10.158702898976374
Gladstone Park,9.509979169356507,0,15.114450641290796,17.25336768710279,0.02046976268261455,0.006462261981436053,0,0.08712495781792413,0.13156757642725841,7.387633241995861,0.017510593945283686,15.068037055546943
Glen Huntly,33.55863788207279,0,32.79874620166492,22.646322667465807,0.07708905204623581,0.010275248167026145,0,0.1459199740280196,0.24512524981130976,12.514977999420976,0.011840975570028186,11.077944374708727
Glen Iris,35.55774301029656,0,44.69576677151012,29.25076023180802,0.07563648531333357,0.04065725613845009,0,0.18323264752921037,0.3137623829646438,20.365964850958044,0.01423599398364979,10.094711549424337
Glen Waverley,24.854334686785926,0,41.16049554388584,24.26525633360963,0.04800540565750946,0.04884906454696,0,0.1470514958979598,0.2570397727699695,15.986260973323924,0.013133806667540241,19.538432689196867
Glenroy,10.091959749550771,0,13.646970982883516,13.927318475820094,0.017391625267367143,0.010698315252044285,0,0.06689077341908455,0.13430406983734888,14.61886326727179,0.03932335589885293,12.789537085850897
Gowanbrae,7.663270111505777,0,11.35711139385418,7.963535852500385,0.015026803522407005,0.014525289091757813,0,0.049656542780141026,0.0838004407617494,8.751892455768246,0.004591805367443557,13.545149478398502
Grangefields,6.053662605381228,4.4375399678501095,0,3.258106814195237,0.004195038968958574,0,3.8557332288432643e-4,0.027699895268259302,0.03483421952939521,3.555226380326759,0.0025537119692930067,31.439640857031332
Greensborough,29.02863211046694,0,47.060514324494115,34.49602397847249,0.05817286145910197,0.05946446092455999,0,0.19868628362164112,0.33397761572563783,18.148428733557573,0.017654009720334766,18.034022166161996
Greenvale,16.836726821252903,6.04989819248012,37.63893775553591,17.670441182017598,0.011188476100489814,0.12694199367536949,0.001781460678941724,0.06772979222792626,0.23455365277403875,14.662357361472841,0.02691193009131146,21.02998408855384
Hadfield,12.24609764049135,0,18.42168349095722,16.02141221502743,0.01715714257615633,0.00518241467952171,0,0.06729070215872263,0.2059353067116224,28.245827036128645,0.11630504729722174,11.591965426009954
Hallam,16.942452063973214,0,40.42413602336362,25.727029610088227,0.03383826398961707,0.023344892654405855,0,0.07776034628606833,0.17187989775865709,8.389413785635886,0.03693639482856582,34.352201889695124
Hampton,41.041557011680396,0,30.43528740343274,42.12429521850757,0.08352370261537376,0.015260857023949283,0,0.26795276402858786,0.38605651898804033,17.523452724272044,0.01931919532012942,14.30553129330143
Hampton East,33.801035674376095,0,38.99254850199886,38.187606712253,0.07263892479050806,0.032881789181783326,0,0.20130706388516142,0.36862230884838654,35.59238852098232,0.061794530990933724,15.051814063318986
Harkaway,54.01482590500342,40.75270003632887,58.70031069518434,26.463899092493083,0.0198659340109199,0.006720465743310177,0.3619282976969009,0.004891427715197868,0.4086850539617663,33.81760204829263,0.0152789287954375,40.23995218999626
