sa1,total_uhi_cov,uhi,sa2,ttl_cov,ttl_cov_a,ttl_area,CHG_FLAG21,SA2_CODE21,AREASQKM21,ttl_uhi_cov_a
20602111005,0.26756786908727276,7.1624175899999996,206021110,0.18988743058200663,2759.945911107478,14534.64245973638,0,206021110,0.055,3889.0033108970597
20602111006,0.24447105068437733,7.42378887,206021110,0.19855361619541492,6019.758202136762,30318.048683697416,0,206021110,0.1325,7411.885216403611
20602111007,0.21772394776247617,7.0476243,206021110,0.2502691153122787,6662.698912688764,26622.137950882345,0,206021110,0.105,5796.276972543342
20602111008,0.23942287589374034,8.27221516,206021110,0.16003268045121094,5069.693046877521,31679.11099522647,0,206021110,0.1294,7584.703860234133
20602111009,0.03287480357308553,9.50806299,206021110,0.04551778864034685,2278.8901762571186,50065.9246490089,0,206021110,0.2233,1645.9074385410688
20602111010,0.194378757436768,8.92027611,206021110,0.09056114427820507,4383.2991354124315,48401.54318221595,0,206021110,0.1776,9408.231821781206
20602111011,0.2781204935382329,7.24886295,206021110,0.21928200517170454,6532.03275490759,29788.27537532233,0,206021110,0.1245,8284.729849037438
20602111012,0.2792884793998298,6.26725813,206021110,0.4852809153820685,14936.246497728927,30778.557376338216,0,206021110,0.1763,8596.096487757915
20602111013,0.2515245279317924,7.72474602,206021110,0.25050497562278556,6523.998222343362,26043.387785507715,0,206021110,0.106,6550.5508184944365
20602111014,0.14689362690007968,8.50705692,206021110,0.09570601056801822,3389.5834713705926,35416.620662101646,0,206021110,0.1255,5202.475861600412
20602111015,0.25226153740876656,7.16400622,206021110,0.31536611577682905,14393.104614058057,45639.35024726446,0,206021110,0.1962,11513.052659712102
20602111016,0.3237134732927303,6.98649286,206021110,0.5230707761627077,13983.279409555558,26733.05419992702,0,206021110,0.1183,8653.849826781188
20602111017,0.2553608625359756,7.42797794,206021110,0.19627321729864775,3699.1653368239786,18847.020432723424,0,206021110,0.082,4812.79139393341
20602111018,0.26410647000518805,7.53183265,206021110,0.5634404314432785,11113.386936319515,19724.155946445066,0,206021110,0.0771,5209.277200847445
20602111019,0.21301137718520763,7.41920066,206021110,0.2745433176331628,8372.477884307373,30496.01773769794,0,206021110,0.1156,6495.998736971558
20602111020,0.41603970173753796,5.88042021,206021110,0.6967284328222506,2279.908416131493,3272.3056914675153,0,206021110,0.1974,1361.409083872193
20602111021,0.10013859001158323,7.77599549,206021110,0.12427589903056352,4034.6218460421,32465.038495113637,0,206021110,0.1718,3251.0031795724517
20602111022,0.20472718543094062,9.09141227,206021110,0.1117184031509897,2282.7909665165716,20433.437125227552,0,206021110,0.0808,4183.2800713279275
20602111201,0.2088692612861711,9.17471194,206021112,0.1820785085194795,9453.121222773594,51917.830938088235,0,206021112,0.2502,10844.038995618808
20602111202,0.18717621376936416,8.66946039,206021112,0.1296936231554183,5309.976258138433,40942.46215772093,0,206021112,0.1384,7663.455049077676
20602111203,0.1923378789587832,8.0686117,206021112,0.22317243491749422,6687.814628075959,29967.028098915587,0,206021112,0.1167,5763.794623243682
20602111204,0.1534906923185104,8.91685353,206021112,0.11951916775087781,2851.9788164823203,23862.104047000226,0,206021112,0.0913,3662.6108703503933
20602111205,0.14901630919405684,8.2680325,206021112,0.11426146859386269,3231.9460902930587,28285.52905950183,0,206021112,0.1161,4215.005144048205
20602111206,0.16329977422063074,8.31255443,206021112,0.0950854412871806,1841.677022105141,19368.654098610525,0,206021112,0.0761,3162.896841260593
20602111207,0.17662048763714547,8.59096766,206021112,0.1662937157361759,4592.80991621055,27618.66193126034,0,206021112,0.1093,4878.021538184667
20602111208,0.19080290157041097,8.1903824,206021112,0.2982824348566469,5683.644965806068,19054.574797666515,0,206021112,0.073,3635.6681595851974
20602111209,0.16394744260745922,8.73455177,206021112,0.17077485024599126,3060.5954870275514,17921.816254670644,0,206021112,0.0858,2938.235941834045
20602111210,0.18785024660868774,8.49971511,206021112,0.15682684747525352,7346.07866484747,46841.97114914679,0,206021112,0.1646,8799.275832004261
20602111211,0.13623456420160296,9.32423127,206021112,0.15012387158560436,2748.266936788352,18306.661743806824,0,206021112,0.0811,2494.0000846536796
20602111212,0.22669998147934223,7.73505666,206021112,0.17395724580271546,4401.680611307682,25303.232360321563,0,206021112,0.0973,5736.242307452391
20602111213,0.17642321040887574,8.59882752,206021112,0.15728561801240062,3287.999503473362,20904.64179130562,0,206021112,0.0845,3688.0640172696885
20602111214,0.20638143338220255,8.70919049,206021112,0.23657734168956024,5928.803441882428,25060.740811190102,0,206021112,0.1017,5172.071610233274
20602111215,0.20140146852734778,9.36890551,206021112,0.2509789716501541,6025.535635682196,24008.12943038647,0,206021112,0.0969,4835.272523874472
20602111216,0.1915020262568116,8.62510399,206021112,0.159895068836697,3823.2413188702285,23910.939509804128,0,206021112,0.1035,4578.993365831544
20602111217,0.2062437847769614,8.31487868,206021112,0.19971704293233225,4239.744036660162,21228.754313654965,0,206021112,0.0803,4378.298635748445
20602111218,0.25129421331572055,7.86859724,206021112,0.2767794080262131,4500.787558516706,16261.280384306796,0,206021112,0.0687,4086.3656616807343
20602111219,0.21919265191719148,8.07125716,206021112,0.2879274520563253,8779.841581666278,30493.24237394612,0,206021112,0.1175,6683.894661498925
20602111220,0.20272363965269977,9.02124385,206021112,0.20267310815346595,6752.305958139422,33316.24022377213,0,206021112,0.1389,6753.989477706763
20602111221,0.2261656184966546,8.07399962,206021112,0.20958714155864178,7211.33914710596,34407.354828532036,0,206021112,0.2212,7781.760685628803
20602111222,0.38890844317550627,6.28868341,206021112,0.33770468036440593,6565.848683319736,19442.575318277337,0,206021112,0.1037,7561.381698353763
20602111223,0.2377962019960343,8.42594951,206021112,0.30247362620004964,6253.287674462053,20673.82784086524,0,206021112,0.0933,4916.157741277629
20602111224,0.1951856203521751,8.42661715,206021112,0.12611954154876354,8424.656267732233,66798.97630673577,0,206021112,0.3586,13038.199629320468
20602111225,0.18372845385246392,6.99776926,206021112,0.11976574855058511,5536.413235242853,46227.01650718156,0,206021112,0.2009,8493.218269076795
20602111226,0.23477112229721295,7.95923838,206021112,0.2715353011558386,5798.829392837637,21355.710908135632,0,206021112,0.0897,5013.704217357835
20602111227,0.16072318950980177,8.66580163,206021112,0.13059085960032277,2812.5840513197727,21537.372982517845,0,206021112,0.0908,3461.5552794125
20602111228,0.244817018533795,7.2107099,206021112,0.22552344106239344,5974.892890834371,26493.44503918488,0,206021112,0.1083,6486.046225182205
20602111229,0.21476602014508966,7.52890337,206021112,0.22941768453272154,7038.2711060432375,30678.851634209474,0,206021112,0.1171,6588.774868100849
20602111230,0.21269728611153846,7.84582846,206021112,0.2963997700147075,6995.842659038844,23602.726340481662,0,206021112,0.0988,5020.2358374537735
20602111231,0.1887114289851485,8.27763644,206021112,0.1897185630005561,2082.47378869994,10976.647491757758,0,206021112,0.0505,2071.4188336358525
20602111232,0.19399681806433336,7.70529032,206021112,0.21138938253490996,4395.248474368156,20792.19127120683,0,206021112,0.09,4033.6189471991315
